      0/99    0.296G   0.09902   0.03165         0    0.1307        11       640  0.004208    0.4651  0.003029 0.0005863   0.07255    0.0276         0
      1/99     1.07G   0.07373   0.03269         0    0.1064        19       640    0.4794    0.4767    0.3812    0.1092    0.0542   0.02507         0
      2/99     1.82G   0.05983   0.02896         0   0.08879         7       640    0.4917    0.5581    0.4384    0.1021   0.06044   0.01902         0
      3/99     1.82G    0.0579   0.02369         0   0.08159         9       640    0.5964    0.6279    0.6111     0.304    0.0457   0.01792         0
      4/99     1.82G   0.05323   0.02202         0   0.07525        20       640    0.5314    0.6792    0.6171    0.2687   0.04745    0.0155         0
      5/99     1.82G   0.05112    0.0203         0   0.07142        14       640    0.4951    0.6163    0.5376    0.1989   0.04114   0.01429         0
      6/99     1.82G   0.05012   0.01904         0   0.06916        13       640    0.6099    0.7849    0.6771    0.2869   0.04436   0.01254         0
      7/99     1.82G   0.04972   0.01833         0   0.06805         9       640    0.6974    0.7905    0.7745    0.3448   0.03959   0.01275         0
      8/99     1.82G   0.04525   0.01651         0   0.06175        17       640    0.7554    0.8079    0.8145    0.4184   0.04334   0.01142         0
      9/99     1.82G   0.04491   0.01587         0   0.06078        22       640    0.7339    0.8023    0.8203    0.4454   0.03562   0.01105         0
     10/99     1.82G   0.04732   0.01624         0   0.06356         9       640     0.683    0.7442    0.7324    0.3517   0.04008   0.01169         0
     11/99     1.82G   0.04405   0.01573         0   0.05978         8       640     0.767    0.7846    0.8219    0.4758   0.03357   0.01069         0
     12/99     1.82G   0.04472   0.01563         0   0.06035        18       640     0.711    0.8198    0.7344    0.3632   0.03828   0.01104         0
     13/99     1.82G   0.03982   0.01414         0   0.05396         6       640    0.7848    0.7209    0.7688    0.3798     0.036   0.01097         0
     14/99     1.82G   0.03736   0.01352         0   0.05089        10       640    0.7944    0.8547    0.8464    0.4905   0.03482  0.009821         0
     15/99     1.82G   0.03859   0.01289         0   0.05148        17       640    0.7975    0.8015    0.8142    0.3872   0.03601    0.0104         0
     16/99     1.82G   0.03718   0.01347         0   0.05065        21       640    0.7724    0.8482    0.8318    0.4719    0.0301   0.01006         0
     17/99     1.82G   0.03357   0.01239         0   0.04597        13       640    0.7812    0.8314    0.8281    0.4689   0.03182  0.009637         0
     18/99     1.82G   0.03397    0.0125         0   0.04648        11       640    0.7715    0.8837     0.872     0.443   0.03444  0.009418         0
     19/99     1.82G    0.0327   0.01261         0   0.04531        16       640    0.8186    0.8663    0.8606    0.5099   0.03053   0.01016         0
     20/99     1.82G   0.03177   0.01211         0   0.04388        15       640    0.7789    0.8601    0.8423    0.5118   0.02887  0.009543         0
     21/99     1.82G   0.03115   0.01293         0   0.04407        15       640    0.8085    0.8605    0.8617    0.5436   0.02843  0.009441         0
     22/99     1.82G    0.0298   0.01226         0   0.04206        23       640    0.8162    0.8779    0.8573    0.5164    0.0292    0.0094         0
     23/99     1.82G   0.03024    0.0113         0   0.04154        15       640    0.7989    0.8546    0.8553    0.5226   0.02888  0.009811         0
     24/99     1.82G   0.02983   0.01211         0   0.04194         4       640    0.7974    0.8721    0.8579    0.5328   0.02969  0.009879         0
     25/99     1.82G   0.02791   0.01106         0   0.03897        13       640    0.8063    0.8953    0.8563    0.5192   0.02917  0.009442         0
     26/99     1.82G   0.02938   0.01173         0   0.04111        10       640     0.801    0.9127    0.8814    0.5189   0.02991  0.009261         0
     27/99     1.82G   0.02918   0.01154         0   0.04072         6       640    0.8147    0.7965    0.8704    0.5366   0.02949  0.009974         0
     28/99     1.82G   0.02808   0.01184         0   0.03992        19       640    0.8294    0.8479    0.8718    0.5413   0.02872  0.009845         0
     29/99     1.82G   0.02871   0.01103         0   0.03974        23       640    0.7624    0.8952    0.8581     0.513   0.03112    0.0101         0
     30/99     1.82G   0.02668   0.01145         0   0.03813        22       640    0.8411    0.8372    0.8386    0.5001   0.02819   0.01001         0
     31/99     1.82G   0.02719     0.011         0   0.03819         9       640     0.839    0.8198    0.8554    0.5312   0.02879  0.009829         0
     32/99     1.82G   0.02634   0.01066         0     0.037        13       640    0.8172    0.8895    0.8837    0.5542   0.02752  0.009581         0
     33/99     1.82G   0.02599   0.01095         0   0.03694        15       640    0.7924    0.8953    0.8705    0.5543   0.02763  0.009672         0
     34/99     1.82G   0.02581   0.01056         0   0.03637         9       640    0.8214    0.8372    0.8516    0.5308   0.02948   0.01011         0
     35/99     1.82G   0.02678   0.01089         0   0.03766        10       640    0.8579    0.8081     0.884    0.5436   0.02886  0.009397         0
     36/99     1.82G   0.02522   0.01012         0   0.03534        27       640    0.8379    0.8721    0.8592    0.5155   0.02918  0.009391         0
     37/99     1.82G   0.02553   0.01038         0   0.03591         8       640    0.8418    0.8372    0.8707    0.5213   0.03013  0.009499         0
     38/99     1.82G   0.02621   0.01079         0     0.037        13       640    0.8286    0.8256     0.871    0.5433   0.02981  0.009691         0
     39/99     1.82G   0.02458    0.0104         0   0.03498        22       640     0.849    0.7847    0.8555    0.5276   0.02931   0.01006         0
     40/99     1.82G   0.02441   0.01027         0   0.03468        15       640    0.8068    0.8779    0.8588    0.5402   0.02878  0.009825         0
     41/99     1.82G   0.02432   0.01027         0   0.03459         9       640    0.8073    0.8779    0.8706    0.5438    0.0274  0.009625         0
     42/99     1.82G   0.02497   0.01041         0   0.03538        10       640     0.818    0.8372    0.8672    0.5394   0.02776   0.01006         0
     43/99     1.82G    0.0238   0.01035         0   0.03415        15       640    0.7806    0.8895    0.8659    0.5486   0.02926   0.01016         0
     44/99     1.82G   0.02295  0.009601         0   0.03255        17       640    0.8352    0.8547    0.8514    0.5256   0.02721   0.01039         0
     45/99     1.82G   0.02334  0.009681         0   0.03302         9       640    0.8248    0.8486    0.8631    0.5511   0.02737   0.01008         0
     46/99     1.82G   0.02287  0.009405         0   0.03227        10       640    0.8212    0.8546    0.8316    0.4963   0.02909    0.0103         0
     47/99     1.82G   0.02221  0.009952         0   0.03216        13       640    0.8569    0.8372    0.8537    0.5293   0.02847   0.01017         0
     48/99     1.82G   0.02405  0.009861         0   0.03391        10       640    0.8332     0.843    0.8467    0.5293   0.02886  0.009652         0
     49/99     1.82G   0.02269   0.01026         0   0.03295        16       640    0.8483    0.8779    0.8432    0.5197    0.0279  0.009864         0
     50/99     1.82G    0.0219  0.009434         0   0.03133         4       640    0.8315    0.8894    0.8589    0.5243   0.02825  0.009644         0
     51/99     1.82G   0.02204  0.009046         0   0.03109        16       640    0.8062    0.8951    0.8508     0.506   0.02972  0.009857         0
     52/99     1.82G   0.02265  0.009257         0   0.03191        11       640    0.8359    0.8605    0.8525     0.532   0.02831   0.01021         0
     53/99     1.82G   0.02154  0.009019         0   0.03056        20       640    0.8343    0.8487    0.8486    0.5181   0.02986   0.01021         0
     54/99     1.82G   0.02313  0.009375         0   0.03251        10       640    0.8105    0.8953    0.8707     0.546   0.02893   0.01005         0
     55/99     1.82G    0.0211  0.009275         0   0.03038         6       640    0.8602    0.8256    0.8704    0.5372   0.02826   0.01014         0
     56/99     1.82G   0.02184  0.008783         0   0.03063         8       640    0.8472     0.843    0.8577    0.5271    0.0289   0.01013         0
     57/99     1.82G   0.02109  0.009107         0    0.0302        12       640    0.8545    0.8198    0.8697    0.5363   0.02956   0.01012         0
     58/99     1.82G   0.02065  0.009469         0   0.03012         9       640    0.8202    0.8487    0.8263    0.5134   0.02906   0.01041         0
     59/99     1.82G   0.02016  0.009113         0   0.02928        16       640    0.8279     0.843    0.8614     0.524   0.02935   0.01062         0
     60/99     1.82G   0.01999  0.009198         0   0.02919        18       640    0.8485     0.814    0.8541    0.5244   0.02873   0.01037         0
     61/99     1.82G   0.01995  0.008412         0   0.02836        15       640    0.8845    0.8023    0.8626     0.532   0.02839   0.01082         0
     62/99     1.82G   0.02015  0.008553         0    0.0287        24       640    0.8596    0.8547     0.878    0.5434   0.02876   0.01044         0
     63/99     1.82G   0.01944  0.008637         0   0.02808        10       640    0.8536    0.8488    0.8718    0.5465   0.02889   0.01025         0
     64/99     1.82G   0.01924   0.00811         0   0.02735         4       640    0.8621    0.8372    0.8697      0.54   0.02931   0.01045         0
     65/99     1.82G   0.01972  0.008557         0   0.02827        11       640    0.8642    0.8139    0.8621    0.5344   0.02979   0.01082         0
     66/99     1.82G   0.02022  0.009025         0   0.02925        23       640     0.865    0.8198    0.8611    0.5242   0.02947   0.01043         0
     67/99     1.82G   0.01861  0.008861         0   0.02748        10       640    0.8563    0.8314    0.8512    0.5156   0.02979   0.01053         0
     68/99     1.82G   0.01865  0.008863         0   0.02752        15       640    0.8521    0.8371    0.8488    0.5157   0.02945   0.01081         0
     69/99     1.82G   0.01871  0.008401         0   0.02711         8       640    0.8484    0.8488    0.8556    0.5259   0.02964   0.01067         0
     70/99     1.82G   0.01792   0.00833         0   0.02625        25       640    0.8657    0.8248    0.8674     0.524   0.02899   0.01037         0
     71/99     1.82G   0.01845  0.008385         0   0.02683        20       640    0.8268    0.8604    0.8592    0.5223   0.02967    0.0108         0
     72/99     1.82G   0.01828  0.008433         0   0.02671         8       640    0.8162    0.8779    0.8621    0.5177    0.0289   0.01038         0
     73/99     1.82G   0.01827   0.00866         0   0.02693         9       640    0.8468    0.8372    0.8638    0.5314   0.02883   0.01013         0
     74/99     1.82G   0.01814  0.008105         0   0.02625        12       640    0.8581     0.814    0.8584    0.5361   0.02813   0.01046         0
     75/99     1.82G   0.01736  0.008359         0   0.02571        11       640    0.8563    0.8313    0.8506    0.5214   0.02834    0.0106         0
     76/99     1.82G   0.01718  0.008023         0    0.0252        10       640    0.8606    0.8253    0.8512    0.5204   0.02859   0.01071         0
     77/99     1.82G   0.01723  0.008473         0   0.02571        13       640    0.8354    0.8372    0.8484    0.5294   0.02868    0.0111         0
     78/99     1.82G    0.0169  0.007886         0   0.02479        10       640    0.8521    0.8371    0.8535    0.5323   0.02867   0.01113         0
     79/99     1.82G   0.01704  0.008231         0   0.02527         4       640    0.8722    0.8372     0.843    0.5155   0.02839   0.01109         0
     80/99     1.82G   0.01677  0.008279         0   0.02505        11       640    0.8606    0.8255    0.8466    0.5142   0.02903   0.01104         0
     81/99     1.82G    0.0167  0.008145         0   0.02484         5       640    0.8305    0.8547    0.8593    0.5201   0.02873   0.01093         0
     82/99     1.82G    0.0166  0.007462         0   0.02407        19       640    0.8268    0.8605     0.859    0.5346     0.029   0.01095         0
     83/99     1.82G   0.01672  0.008127         0   0.02485        12       640    0.8622    0.8372    0.8559    0.5332   0.02865   0.01091         0
     84/99     1.82G   0.01635  0.007574         0   0.02392         8       640    0.8757    0.8198    0.8481    0.5282   0.02877   0.01081         0
     85/99     1.82G   0.01682  0.008196         0   0.02502         8       640    0.8614    0.8314    0.8431    0.5227   0.02879   0.01082         0
     86/99     1.82G   0.01615  0.008197         0   0.02434        10       640    0.8405    0.8605    0.8535    0.5335   0.02888   0.01091         0
     87/99     1.82G   0.01617  0.008439         0   0.02461        17       640    0.8324    0.8661    0.8519    0.5248   0.02861    0.0108         0
     88/99     1.82G   0.01595  0.007998         0   0.02394        17       640    0.8496    0.8537    0.8527    0.5222    0.0289   0.01096         0
